Id,RecordTypeId,Name,IsPersonAccount,LastName,FirstName,Salutation,MiddleName,Suffix,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonHasOptedOutOfEmail,PersonHasOptedOutOfFax,PersonDoNotCall,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,AccountSource,SicDesc,OperatingHoursId,FinServ__ClientCategory__c,FinServ__FinancialInterests__c,FinServ__IndividualId__c,FinServ__IndividualType__c,FinServ__InvestmentExperience__c,FinServ__InvestmentObjectives__c,FinServ__LastInteraction__c,FinServ__LastReview__c,FinServ__MarketingSegment__c,FinServ__NetWorth__c,FinServ__NextInteraction__c,FinServ__NextReview__c,FinServ__Notes__c,FinServ__PersonalInterests__c,FinServ__PrimaryContact__c,FinServ__ReviewFrequency__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__SourceSystemId__c,FinServ__Status__c,FinServ__TimeHorizon__c,FinServ__TotalAUMJointOwner__c,FinServ__TotalAUMPrimaryOwner__c,FinServ__TotalBankDepositsJointOwner__c,FinServ__TotalBankDepositsPrimaryOwner__c,FinServ__TotalFinAcctsJointOwner__c,FinServ__TotalFinAcctsPrimaryOwner__c,FinServ__TotalHeldFinAcctsJointOwner__c,FinServ__TotalHeldFinAcctsPrimaryOwner__c,FinServ__TotalInsuranceJointOwner__c,FinServ__TotalInsurancePrimaryOwner__c,FinServ__TotalInvestmentsJointOwner__c,FinServ__TotalInvestmentsPrimaryOwner__c,FinServ__TotalLiabilitiesJointOwner__c,FinServ__TotalLiabilitiesPrimaryOwner__c,FinServ__TotalNonfinancialAssetsJointOwner__c,FinServ__TotalNonfinancialAssetsPrimaryOwner__c,FinServ__BankNumber__c,FinServ__BorrowingHistory__c,FinServ__BorrowingPriorities__c,FinServ__BranchCode__c,FinServ__BranchName__c,FinServ__ConversionDateTime__c,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerID__c,FinServ__CustomerSegment__c,FinServ__CustomerType__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LastTransactionDateJointOwner__c,FinServ__LastTransactionDatePrimaryOwner__c,FinServ__LastUsedChannel__c,FinServ__LifetimeValue__c,FinServ__ReferredByContact__c,FinServ__RelationshipStartDate__c,FinServ__TotalNumberOfFinAccountsJointOwner__c,FinServ__TotalNumberOfFinAccountsPrimaryOwner__c,FinServ__TotalOutstandingCreditJointOwner__c,FinServ__TotalOutstandingCreditPrimaryOwner__c,FinServ__TotalRevenue__c,FinServ__TotalPremium__c,FinServ__AnnualIncome__pc,FinServ__Citizenship__pc,FinServ__CountryOfResidence__pc,FinServ__CreatedFromLead__pc,FinServ__CurrentEmployer__pc,FinServ__EmployedSince__pc,FinServ__Facebook__pc,FinServ__Gender__pc,FinServ__IndividualType__pc,FinServ__LanguagesSpoken__pc,FinServ__LinkedIn__pc,FinServ__MaritalStatus__pc,FinServ__NumberOfDependents__pc,FinServ__Occupation__pc,FinServ__PrimaryAddressIsBilling__pc,FinServ__PrimaryAddressIsMailing__pc,FinServ__PrimaryAddressIsOther__pc,FinServ__PrimaryAddressIsShipping__pc,FinServ__SourceSystemId__pc,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__Twitter__pc,FinServ__WeddingAnniversary__pc,FinServ__CountryOfBirth__pc,FinServ__PreferredName__pc,FinServ__PrimaryLanguage__pc,FinServ__SecondaryLanguage__pc,FinServ__Affiliations__pc,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CustomerTimezone__pc,FinServ__EmailVerified__pc,FinServ__FaxVerified__pc,FinServ__HomeOwnership__pc,FinServ__HomePhoneVerified__pc,FinServ__LastFourDigitSSN__pc,FinServ__MarketingOptOut__pc,FinServ__MobileVerified__pc,FinServ__MostUsedChannel__pc,FinServ__MotherMaidenName__pc,FinServ__NextLifeEvent__pc,FinServ__NumberOfChildren__pc,FinServ__PrimaryCitizenship__pc,FinServ__ReferredByContact__pc,FinServ__ReferrerScore__pc,FinServ__SecondaryCitizenship__pc,RecordType.DeveloperName,Parent.Name,PersonIndividual.Name,OperatingHours.Name,FinServ__PrimaryContact__r.Name,FinServ__ReferredByContact__r.Name,FinServ__ReferredByContact__pr.Name
0013h00000CviB6AAJ,0123h000000z9N9AAI,Cumulus Restaurants (Sample),false,,,,,,Other,,,,,,,,,,,,,,,,,,16283919393,,,www.cumulus-restaurants.com,,Food & Beverage,,,,CLU,,Hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,IndustriesBusiness;Account,,,,,,
0013h00000CviB4AAJ,0123h000000z9NAAAY,Adams Charitable Trust (Sample),false,,,,,,,,10 Romolo Place,San Francisco,CA,94133,United States,,,,Adams Avenue,Milpitas,CA,95035,United States,,,,5107174299,,,www.adamsct.co.nb,,Not For Profit,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,Rachel Adams is highly involved in the activities of this trust.,,,,,,,,,0,0,0,275000,7100,275000,7100,275000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,7100,0,,,,,,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,IndustriesInstitution;Account,,,,,,
0013h00000CviB5AAJ,0123h000000z9NBAAY,Adams Household (Sample),false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,Group,,,2020-07-22,,,,2021-06-14,,"Adams Family is a highly valued, high net worth household.",,,,,,,,,0,1195000,0,387676.57,,1778911.21,,1536911.21,0,2000000,0,1337000,0,25000,0,1000000,,,,,,,,,,,,,,,,,,,,,13,,54234.64,,3000,,,,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,IndustriesHousehold;Account,,,,,,
0013h00000CviB7AAJ,0123h000000z9NCAAY,Aaron Thompson (Sample),true,Thompson (Sample),Aaron,Mr.,,,Partner,,1155 Market Street,San Francisco,CA,94103,United States,,,,,,,,,,,,(541) 754-3010,,,,,,,,,,,Hot,,1155 Market Street,San Francisco,CA,94103,United States,,,,,,,,,,,,,,,,adamr@mikcorp.com,Agent,,,,,false,false,false,,,,,,,,,,0013A00001d0PBnQAM1560449228540,Individual,,,,,,,,,,,0033h000008s552AAA,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,false,false,false,false,,,,,,United States,,English,English,,,,,false,false,,false,,false,false,,,,,United States,,0,United States,PersonAccount;Account,,,,Aaron Thompson (Sample),,
0013h00000CviB8AAJ,0123h000000z9NCAAY,Neil Symonds (Sample),true,Symonds (Sample),Neil,Mr.,,,,,10021 South Blaney Avenue,Cupertino,CA,95014,United States,,,,,,,,,,,,5105490092,,,,,,,,,,,Hot,,10021 South Blaney Avenue,Cupertino,CA,95014,United States,,,,,,,,,,,,5105490091,,,,neil.symonds@symonds.com,,,,,1950-03-29,false,false,false,,,,,,,,Gold,Fixed Income;Energy;Technology,0014100000AlE7lAAF1480462398937,Individual,Moderately Inexperienced,Balanced;Growth,2020-06-19,,High Net Worth,500000,2020-06-22,,,Environment,0033h000008s550AAA,Quarterly,Conservative,Tier 2,,Prospect,Medium Term,0,324700,0,0,142000,324700,0,324700,0,0,142000,324700,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,0,0,11.75,,,,,false,Symonds Inc.,,,,Individual,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,0,,PersonAccount;Account,,,,Neil Symonds (Sample),,
0013h00000CviB9AAJ,0123h000000z9NCAAY,Nigel Adams (Sample),true,Adams (Sample),Nigel,Mr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967-07-01,false,false,false,,,,,,,,,,00141000007RvpBAAS1477432542883,Individual,,,,,,,,,,,0033h000008s54zAAA,,,,,Prospect,,0,300000,0,0,12377.65,300000,12377.65,300000,0,0,0,300000,0,0,1000000,0,,,,,,,,,,,,,,,,,,,,1,1,12377.65,0,,0,,,,false,,,,,Individual,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,PersonAccount;Account,,,,Nigel Adams (Sample),,
0013h00000CviBAAAZ,0123h000000z9NCAAY,Rachel Adams (Sample),true,Adams (Sample),Rachel,Mrs.,,,Customer,,1155 Market Street,San Francisco,CA,94103,United States,,,,552 Grant Avenue,San Francisco,CA,94108,United States,,,,(500) 145-0557,,,,,,,,,,,Hot,,170 Post Street,San Francisco,CA,94108,United States,,,,142 Sansome Street,San Francisco,CA,94104,United States,,,,5001450558,5009798658,510) 717-4299,,rachel@acmecorp.com,,,,,1969-06-27,false,false,false,,,,,,,,Platinum,Fixed Income;Technology;Retirement;College Planning,00141000007RvoNAAS1477432486737,Individual,Experienced,Income;Balanced;Growth,2020-07-22,2020-06-08,High Net Worth;Female Investor,3500000,2021-06-14,2020-07-09,Rachel is participating in a triathlon soon. She is a fitness enthusiast.,Cooking;Wine,0033h000008s54yAAA,Monthly,Moderate,Tier 1,,Active,Long Term,0,895000,0,112676.57,0,1203911.21,0,961911.21,0,2000000,0,1037000,0,25000,0,1000000,,,,,,,,,,Mass Affluent;Long Term Growth,,2019-12-25,Completed - Valid,,,Mobile,,,1993-11-19,0,11,0,54234.64,500,,350000,,,false,ACME Inc,2016-05-12,,,Individual,"English, Arabic, Spanish, French",,Married,,"SVP, Practices",false,true,false,false,,33%,,,1991-05-10,,Rachel,,,,Fraud:Phone;Fraud:Email;Fraud:SMS;Promotions:Phone,Mobile,America/Los_Angeles,true,false,,false,0606,true,true,,,Critical Family Event,,United States,,0,Andorra,PersonAccount;Account,,,,Rachel Adams (Sample),,
0013h00000CviBCAAZ,0123h000000z9N9AAI,"Smith, Kohl and Company (Sample)",false,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,Other,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,IndustriesBusiness;Account,,,,,,
0013h00000CviBDAAZ,0123h000000z9NBAAY,Symonds Household (Sample),false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,Group,,,2020-06-19,,,,2020-06-22,,Rachel's parents' household,,,,,,,,,0,324700,0,0,,324700,,324700,0,0,0,324700,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,false,false,,false,,false,false,,,,,,,,,IndustriesHousehold;Account,,,,,,
0013h00000CviBBAAZ,0123h000000z9NCAAY,Alishia Sergi ( Sample ),true,Sergi ( Sample ),Alishia,Ms.,,,,,,,,,,,,,,,,,,,,,(605) 414-2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aliciasergei@gmail.com,Agent,,,,,false,false,false,,,,,,,,,,0013k00002grCLRAA21582540439762,Individual,,,,,,,,,,,0033h000008s553AAA,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,false,false,false,false,,,,,,United States,,English,English,,,,,false,false,,false,,false,false,,,,,United States,,0,United States,PersonAccount;Account,,,,Alishia Sergi ( Sample ),,
